team, pts,  ts_pct, fta, ft_pct, fg3a, fg3_pct, ast, tov, oreb, dreb, stl, blk, defl, lb_rec, cont_2, cont_3, defg_pct, off_rtg, def_rtg, pf
ATL,125.71,0.588,26.12,0.838,36.35,0.383,26.34,12.95,10.34,35.27,6.86,4.68,13.75,5.26,30.72,19.39,0.535,114.52,110.95,17.96
BOS,118.22,0.577,23.44,0.791,39.06,0.376,27.47,13.89,10.51,33.02,8.21,5.37,15.6,5.96,29.85,20.28,0.553,112.69,111.42,18.95
BKN,136.17,0.621,27.73,0.844,42.11,0.402,32.97,14.79,6.16,34.4,6.78,4.42,13.56,5.24,27.26,19.32,0.544,117.13,112.38,17.25
CHA,122.78,0.571,22.42,0.804,43.26,0.385,29.75,14.98,9.01,33.63,8.28,3.88,15.39,6.23,24.95,21.71,0.55,110.27,110.21,16.76
CHI,123.29,0.582,18.08,0.798,36.99,0.384,25.08,14.63,9.51,37.72,6.48,4.49,12.62,5.58,37.16,21.87,0.54,109.38,111.6,18.18
CLE,104.8,0.551,22.43,0.771,30.29,0.343,25.15,14.36,8.59,27.35,7.55,3.67,13.91,5.83,28.18,18.36,0.564,104.45,112.44,16.45
DAL,118.83,0.589,21.03,0.787,41.32,0.377,23.38,11.53,8.54,36.19,5.55,4.59,10.96,5.63,32.5,21.44,0.533,115.04,111.57,18.36
DEN,115.06,0.593,20.64,0.774,33.95,0.386,29.63,12.98,9.54,33.4,7.99,4.33,14.83,5.57,24.38,17.99,0.546,116.09,111.08,16.75
DET,112.9,0.567,26.45,0.754,32.48,0.356,21.02,13.7,10.63,35.2,6.85,6.26,11.53,5.92,33.52,18.95,0.538,106.95,111.58,22.32
GSW,112.24,0.603,20.22,0.814,40.24,0.389,32.51,15.4,7.46,35.97,8.66,4.4,15.85,6.45,32.84,21.97,0.522,111.22,107.78,21.04
HOU,111.71,0.564,22.92,0.728,37.5,0.362,24.14,13.8,9.57,35.27,7.45,5.12,13.02,6.38,30.95,21.45,0.555,107.52,113.14,18.14
IND,114.73,0.582,19.47,0.8,33.46,0.377,30.63,13.5,7.71,31.65,8.73,3.25,16.57,6.39,24.74,18.57,0.547,110.95,111.43,18.21
LAC,121.81,0.609,20.88,0.843,37.03,0.412,24.72,12.76,9.93,37.37,7.0,5.19,13.14,6.17,34.9,18.9,0.524,117.58,109.06,19.08
LAL,127.12,0.568,29.97,0.72,26.89,0.352,28.06,17.33,11.9,40.07,8.61,5.85,15.64,6.62,31.46,18.27,0.523,109.4,106.48,17.43
MEM,120.17,0.567,23.12,0.772,33.19,0.366,26.44,13.28,11.1,34.79,8.7,4.81,15.65,5.44,32.31,21.61,0.54,111.98,109.49,17.97
MIA,115.79,0.587,23.96,0.824,34.42,0.367,31.19,14.57,7.45,33.35,7.99,3.35,14.59,5.97,23.27,21.93,0.537,109.84,109.65,16.08
MIL,119.19,0.595,22.16,0.752,33.99,0.38,26.57,13.55,10.87,40.77,8.5,5.06,15.65,7.06,39.65,26.95,0.538,115.61,109.53,17.43
MIN,126.97,0.564,25.24,0.789,44.39,0.367,27.9,15.17,9.08,31.44,7.97,5.42,14.34,6.62,31.99,19.9,0.556,109.46,114.69,20.15
NOP,118.43,0.575,26.91,0.724,33.09,0.354,28.59,14.66,10.37,36.75,7.75,4.08,14.06,6.37,28.62,24.34,0.556,112.78,112.98,16.44
NYK,108.48,0.56,21.0,0.81,27.4,0.398,23.28,12.6,9.18,35.89,7.02,5.3,13.81,5.98,28.93,21.41,0.504,109.58,106.72,19.43
OKC,108.39,0.539,22.1,0.753,38.51,0.351,25.45,17.41,7.03,33.27,6.47,4.24,12.79,5.58,28.93,26.61,0.556,102.09,113.27,17.41
ORL,97.53,0.517,21.79,0.78,27.83,0.332,22.24,12.21,8.67,30.0,7.07,3.76,14.43,6.33,24.33,22.17,0.543,104.51,112.04,17.79
PHI,123.01,0.59,28.44,0.792,31.34,0.384,25.87,14.28,7.92,33.35,9.7,5.91,17.32,5.83,26.84,18.1,0.518,113.31,105.85,17.84
PHX,118.89,0.601,20.06,0.844,34.87,0.383,27.97,12.59,8.47,33.65,7.24,4.23,13.19,5.68,31.96,20.18,0.536,116.08,108.93,18.38
POR,127.64,0.591,25.13,0.825,40.21,0.391,23.77,12.15,11.1,35.39,7.54,5.76,14.79,5.84,28.31,20.14,0.545,117.06,113.51,18.74
SAC,114.89,0.582,22.96,0.747,32.98,0.368,27.97,12.53,9.12,31.18,7.92,4.71,15.52,5.74,28.67,19.37,0.552,112.6,115.53,17.44
SAS,116.16,0.554,22.58,0.809,31.34,0.352,27.01,11.24,8.32,32.09,6.7,4.65,13.77,5.35,30.99,18.62,0.537,111.03,110.63,17.18
TOR,118.59,0.561,23.27,0.818,42.92,0.362,27.2,11.69,9.77,30.73,8.46,5.34,17.03,6.49,28.45,24.04,0.536,112.0,111.29,18.84
UTA,125.3,0.597,23.41,0.801,47.34,0.394,26.37,14.3,8.79,35.9,6.67,4.45,11.49,5.77,27.8,17.16,0.509,116.62,104.99,16.52
WAS,124.6,0.566,27.81,0.792,31.63,0.366,29.24,14.41,8.41,32.51,7.49,2.54,13.02,6.11,27.94,18.18,0.541,110.52,111.42,18.52
