game_id, win_result, home_pts, home_ ts_pct, home.fta, home.ft_pct, home.fg3a, home.fg3_pct, home.ast, home.tov, home.oreb, home.dreb, home.stl, home.blk, home.defl, home.lb_rec, home.cont_2, home.cont_3, home.defg_pct, home.off_rtg, home.def_rtg, home.pf, away.pts, away.ts_pct, away.fta, away.ft_pct, away.fg3a, away.fg3_pct, away.ast, away.tov, away.oreb, away.dreb, away.stl, away.blk, away.defl, away.lb_rec, away.cont_2, away.cont_3, away.defg_pct, away.off_rtg, away.def_rtg, away.pf
21800001,1,117.74,0.566,19.8,0.81,36.7,0.37,28.41,12.91,8.07,34.55,9.26,4.52,14.64,8.59,30.41,25.87,0.516,110.5,106.42,17.87,118.39,0.574,28.92,0.758,31.08,0.374,26.88,14.95,10.22,36.88,8.17,5.27,14.32,8.66,36.14,21.82,0.506,109.46,106.95,20.97
21800002,1,121.49,0.612,21.8,0.816,36.37,0.388,31.66,14.34,9.06,35.56,7.92,6.77,14.4,8.76,40.36,25.71,0.499,115.9,106.86,20.54,106.23,0.56,21.88,0.733,32.66,0.36,15.64,10.91,12.83,29.88,8.7,5.56,14.53,8.68,46.45,25.85,0.522,108.8,104.85,21.38
21800003,0,109.36,0.557,22.19,0.811,30.99,0.356,23.94,11.27,9.33,33.44,7.57,5.01,13.45,8.12,37.6,25.84,0.524,109.92,110.23,17.96,128.41,0.595,26.22,0.785,37.16,0.361,27.28,14.46,8.94,40.8,7.53,5.88,13.79,8.61,43.73,26.78,0.509,113.12,103.34,19.52
21800004,1,112.58,0.543,24.47,0.737,33.46,0.352,23.29,12.92,11.32,33.71,6.47,4.12,11.53,8.49,35.45,21.82,0.525,108.89,107.81,20.96,112.25,0.558,22.47,0.753,37.85,0.353,26.61,14.55,8.63,29.33,6.62,4.14,12.11,7.75,43.9,23.09,0.514,108.54,109.18,20.7
21800005,1,113.44,0.556,23.08,0.751,25.14,0.371,28.71,14.52,9.53,36.08,9.53,4.88,15.94,9.59,35.69,26.86,0.527,108.51,104.95,18.42,101.27,0.551,22.15,0.773,28.66,0.355,25.12,13.24,7.42,33.23,9.02,5.59,14.66,8.8,35.35,23.1,0.513,103.85,106.05,22.72
21800006,1,113.75,0.55,19.48,0.792,34.46,0.356,25.11,13.29,10.14,36.38,6.42,5.97,10.94,7.83,38.52,18.92,0.525,106.98,107.06,17.57,109.46,0.544,24.2,0.719,30.99,0.342,25.92,14.29,11.87,35.03,7.26,5.76,13.47,8.92,38.55,23.95,0.51,106.13,106.35,20.16
21800007,1,105.26,0.533,25.3,0.762,27.14,0.33,17.07,13.88,13.27,37.22,6.76,5.65,11.02,8.49,42.56,25.58,0.542,103.51,112.27,23.34,111.42,0.541,23.56,0.761,38.73,0.343,28.95,17.92,9.15,29.95,8.77,4.39,14.6,9.73,34.36,24.09,0.546,105.85,111.72,21.56
21800008,1,124.48,0.592,24.98,0.808,33.1,0.374,26.58,13.88,10.46,37.9,7.9,5.77,14.88,8.99,43.91,25.36,0.509,113.76,105.92,20.18,111.97,0.542,23.47,0.813,31.56,0.352,19.54,12.47,10.78,33.92,6.06,1.8,10.28,7.67,29.83,24.17,0.546,107.23,114.86,18.76
21800009,0,121.56,0.58,25.9,0.806,48.08,0.357,21.98,13.35,9.94,33.02,8.53,4.92,15.08,8.35,31.59,20.3,0.532,112.73,108.96,20.88,124.17,0.566,26.17,0.772,33.08,0.352,30.19,14.84,11.34,37.61,8.24,5.98,14.95,9.07,38.48,26.16,0.523,111.4,110.56,19.37
21800010,1,118.03,0.575,21.75,0.819,26.82,0.394,23.71,11.92,9.28,35.23,5.56,4.41,10.81,7.1,40.62,22.62,0.526,111.78,109.34,17.62,123.02,0.557,28.71,0.812,25.36,0.353,31.4,13.71,11.22,30.76,8.31,4.86,14.08,8.62,35.95,25.24,0.534,110.68,110.69,17.27
21800011,0,115.21,0.56,22.56,0.726,30.44,0.386,24.25,12.25,11.28,34.08,8.0,4.85,14.07,8.68,36.25,25.49,0.532,109.14,109.46,19.89,113.08,0.57,27.22,0.74,31.54,0.354,27.0,14.94,10.84,37.73,8.3,5.98,15.26,8.48,43.68,21.39,0.506,108.71,104.32,20.03
21800012,0,120.71,0.577,28.84,0.818,29.28,0.388,25.23,13.22,7.87,32.88,6.66,4.15,12.18,8.13,37.05,22.09,0.516,111.07,109.78,20.21,116.55,0.559,21.58,0.768,31.03,0.355,30.03,13.46,11.34,34.14,8.12,4.11,14.91,8.32,31.12,24.53,0.529,111.57,106.8,19.02
21800013,1,111.89,0.555,22.29,0.794,31.36,0.34,24.96,15.15,7.47,29.87,8.43,3.73,13.89,8.84,30.36,22.11,0.557,105.36,113.56,20.91,105.47,0.566,26.31,0.726,31.0,0.343,25.51,15.56,12.24,37.41,7.21,4.8,12.69,8.49,40.85,25.05,0.515,106.8,109.11,20.13
21800014,1,118.39,0.574,28.92,0.758,31.08,0.374,26.88,14.95,10.22,36.88,8.17,5.27,14.32,8.66,36.14,21.82,0.506,109.46,106.95,20.97,107.81,0.553,21.08,0.784,25.64,0.351,19.6,14.59,10.83,35.9,6.72,4.79,11.41,7.59,39.52,23.74,0.527,104.11,110.76,20.51
21800015,0,117.88,0.557,24.59,0.765,37.3,0.343,28.82,14.26,6.92,27.38,8.78,4.65,16.25,8.35,30.97,23.06,0.543,109.73,112.25,20.15,109.46,0.544,24.2,0.719,30.99,0.342,25.92,14.29,11.87,35.03,7.26,5.76,13.47,8.92,38.55,23.95,0.51,106.13,106.35,20.16
21800016,1,117.03,0.567,23.76,0.825,30.89,0.36,24.21,12.88,11.08,35.53,7.14,4.96,13.31,8.71,38.75,21.22,0.503,114.25,107.76,19.39,117.14,0.554,24.2,0.688,31.97,0.329,31.25,16.44,8.37,36.15,7.76,5.11,12.36,9.25,33.93,24.39,0.518,106.81,108.88,18.69
21800017,0,111.46,0.55,19.54,0.806,33.84,0.36,25.24,12.84,9.05,34.51,6.48,4.69,11.34,7.67,33.31,19.33,0.521,107.77,106.56,16.98,109.36,0.557,22.19,0.811,30.99,0.356,23.94,11.27,9.33,33.44,7.57,5.01,13.45,8.12,37.6,25.84,0.524,109.92,110.23,17.96
21800018,1,113.97,0.561,22.63,0.751,39.41,0.364,25.96,14.82,8.04,29.3,6.55,4.14,12.32,7.15,42.06,21.87,0.513,108.19,108.99,20.68,110.36,0.523,25.58,0.787,30.65,0.335,19.77,14.34,10.63,34.36,6.55,2.84,10.55,8.51,35.54,24.25,0.551,103.88,112.17,20.64
21800019,1,124.48,0.592,24.98,0.808,33.1,0.374,26.58,13.88,10.46,37.9,7.9,5.77,14.88,8.99,43.91,25.36,0.509,113.76,105.92,20.18,117.74,0.566,19.8,0.81,36.7,0.37,28.41,12.91,8.07,34.55,9.26,4.52,14.64,8.59,30.41,25.87,0.516,110.5,106.42,17.87
21800020,1,101.27,0.551,22.15,0.773,28.66,0.355,25.12,13.24,7.42,33.23,9.02,5.59,14.66,8.8,35.35,23.1,0.513,103.85,106.05,22.72,113.3,0.544,23.44,0.759,40.48,0.347,29.08,17.8,7.64,29.2,8.77,4.26,15.11,9.52,31.53,22.5,0.555,105.78,111.28,22.06
