Team Name, ts_pct, fta, freq_3p, ast, tov, oreb, dreb, stl, blk, defl, defg_pct, pf, off_rtg, def_rtg
New Orleans Pelicans,0.593,29.76,0.29,25.66,15.67,11.46,34.29,7.89,4.84,15.44,0.548,19.46,115.66,110.35
Orlando Magic,0.571,30.59,0.31,29.02,18.54,10.79,36.35,7.75,4.82,15.01,0.551,21.16,109.07,113.22
Oklahoma City Thunder,0.563,23.97,0.32,25.69,14.45,12.27,31.3,8.14,5.16,14.86,0.543,20.53,109.79,112.84
Atlanta Hawks,0.569,23.83,0.33,23.73,13.13,11.21,35.14,6.76,5.05,14.25,0.523,17.77,111.16,112.17
Los Angeles Lakers,0.587,28.49,0.33,28.49,15.17,8.1,34.64,7.07,4.61,13.31,0.537,16.7,112.46,112.91
Chicago Bulls,0.584,21.48,0.35,26.13,13.06,6.15,30.77,7.02,3.99,14.52,0.555,18.57,111.81,112.82
San Antonio Spurs,0.562,22.84,0.35,28.92,16.18,11.02,31.68,7.23,4.02,15.33,0.563,19.51,109.15,117.34
Brooklyn Nets,0.62,19.32,0.36,28.03,13.44,7.14,34.54,7.03,7.35,14.87,0.51,21.52,115.08,109.92
Cleveland Cavaliers,0.587,24.4,0.36,23.9,13.1,9.1,30.9,6.7,4.2,12.39,0.518,17.5,112.93,107.86
Minnesota Timberwolves,0.595,25.85,0.36,27.09,15.78,9.34,34.15,8.1,5.29,15.84,0.535,21.8,111.56,111.93
Detroit Pistons,0.552,29.3,0.36,26.08,16.1,10.52,32.74,6.65,3.11,12.26,0.555,20.93,110.14,117.6
Memphis Grizzlies,0.562,29.52,0.37,28.09,14.49,12.84,35.99,8.01,6.91,14.77,0.503,18.88,114.93,106.79
New York Knicks,0.569,27.82,0.37,22.73,12.32,13.17,32.92,6.69,4.25,12.33,0.524,20.81,114.81,111.67
Phoenix Suns,0.58,20.88,0.37,30.47,12.55,9.07,30.69,7.49,3.8,15.68,0.526,18.88,115.1,112.32
Toronto Raptors,0.55,29.3,0.37,23.99,12.25,11.23,30.93,9.9,4.39,18.43,0.547,17.76,111.34,111.83
Denver Nuggets,0.609,25.22,0.37,30.99,14.75,9.51,33.45,7.27,3.85,15.01,0.555,17.52,118.31,112.76
Washington Wizards,0.576,23.95,0.38,25.84,14.28,6.93,34.03,5.88,4.31,10.92,0.516,16.07,111.81,113.2
Los Angeles Clippers,0.57,26.13,0.38,25.91,16.36,7.69,33.71,6.92,3.95,15.25,0.525,17.68,109.19,109.84
Houston Rockets,0.551,25.44,0.38,22.7,16.77,13.6,32.01,7.35,4.17,13.97,0.556,21.16,107.56,115.56
Charlotte Hornets,0.533,22,0.39,30.73,14.35,10.08,30.53,8.43,4.17,18.39,0.552,20.16,107.9,113.85
Philadelphia 76ers,0.596,27.59,0.4,30.05,14.83,6.87,32.31,7.86,4.22,13.97,0.517,18.27,114.11,109.47
Portland Trail Blazers,0.592,26.9,0.4,26.09,15.08,10.6,31.69,6.52,4.18,11.85,0.534,20.08,113.66,112.75
Milwaukee Bucks,0.557,27.63,0.41,28.6,15.49,11.16,38.79,6.61,5.53,12.16,0.512,18.2,110.36,108.58
Miami Heat,0.571,24.18,0.41,27.02,13.47,8.63,29.3,9.01,2.75,15.84,0.551,17.26,111.08,110.29
Sacramento Kings,0.603,26.79,0.42,28.12,14.45,8.45,32.24,6.67,3,12.66,0.558,18.79,116.3,113.65
Utah Jazz,0.602,25.25,0.43,27.78,14.82,11.64,31.95,6.81,4.39,12.97,0.549,20.86,116.62,115.28
Boston Celtics,0.612,24.38,0.45,28.41,13.64,9.92,36.06,6.61,5.99,13.4,0.515,17.87,117.11,109.83
Indiana Pacers,0.59,22.43,0.45,29.83,14.91,8.65,32.11,8.2,5.46,15.3,0.525,20.27,112.75,112.73
Golden State Warriors,0.598,19.54,0.51,31.9,15.85,9.19,34.54,7.08,3.91,15.25,0.528,20.18,113.96,110.99
Dallas Mavericks,0.597,25.4,0.52,22.31,11.31,6.89,30.64,6.89,3.8,12.16,0.54,18.71,114.82,112.5
